
 None,None,None,None,12:46:06,08/04/2024,Present
 None,None,None,None,12:46:07,08/04/2024,Present
 None,None,None,None,12:46:11,08/04/2024,Present
 None,None,None,None,12:46:15,08/04/2024,Present
 None,None,None,None,12:46:15,08/04/2024,Present
 None,None,None,None,12:46:16,08/04/2024,Present
 None,None,None,None,12:46:17,08/04/2024,Present
 None,None,None,None,12:46:17,08/04/2024,Present
 None,None,None,None,12:46:26,08/04/2024,Present
 None,None,None,None,12:46:26,08/04/2024,Present
 None,None,None,None,12:46:27,08/04/2024,Present
 None,None,None,None,12:46:27,08/04/2024,Present
 None,None,None,None,12:46:28,08/04/2024,Present
 None,None,None,None,12:46:28,08/04/2024,Present
 None,None,None,None,12:46:28,08/04/2024,Present
 None,None,None,None,12:46:29,08/04/2024,Present
 None,None,None,None,12:46:29,08/04/2024,Present
 None,None,None,None,12:46:29,08/04/2024,Present
 None,None,None,None,12:46:30,08/04/2024,Present
 None,None,None,None,12:46:31,08/04/2024,Present
 None,None,None,None,12:46:31,08/04/2024,Present
 None,None,None,None,12:46:32,08/04/2024,Present
 None,None,None,None,12:46:32,08/04/2024,Present
 None,None,None,None,12:46:32,08/04/2024,Present
 None,None,None,None,12:46:43,08/04/2024,Present
 None,None,None,None,12:46:43,08/04/2024,Present
 None,None,None,None,12:46:44,08/04/2024,Present
 None,None,None,None,12:46:46,08/04/2024,Present
 None,None,None,None,12:46:46,08/04/2024,Present
 None,None,None,None,12:46:47,08/04/2024,Present
 None,None,None,None,12:46:47,08/04/2024,Present
 None,None,None,None,12:46:48,08/04/2024,Present
 None,None,None,None,12:46:49,08/04/2024,Present
 None,None,None,None,12:46:49,08/04/2024,Present
 None,None,None,None,12:46:50,08/04/2024,Present
 None,None,None,None,12:46:50,08/04/2024,Present
 None,None,None,None,12:46:51,08/04/2024,Present
 None,None,None,None,12:46:52,08/04/2024,Present
 None,None,None,None,12:46:53,08/04/2024,Present
 None,None,None,None,12:46:53,08/04/2024,Present
 None,None,None,None,12:46:53,08/04/2024,Present
 None,None,None,None,12:46:54,08/04/2024,Present
 None,None,None,None,12:46:54,08/04/2024,Present
 None,None,None,None,12:46:54,08/04/2024,Present
 None,None,None,None,12:46:55,08/04/2024,Present
 None,None,None,None,12:46:55,08/04/2024,Present
 None,None,None,None,12:46:56,08/04/2024,Present
 None,None,None,None,12:46:56,08/04/2024,Present
 None,None,None,None,12:46:56,08/04/2024,Present
 None,None,None,None,12:46:59,08/04/2024,Present
 None,None,None,None,12:46:59,08/04/2024,Present
 None,None,None,None,12:47:01,08/04/2024,Present
 None,None,None,None,12:47:12,08/04/2024,Present
 None,None,None,None,12:47:12,08/04/2024,Present
 None,None,None,None,12:47:48,08/04/2024,Present
 None,None,None,None,12:47:48,08/04/2024,Present
 None,None,None,None,12:47:49,08/04/2024,Present
 None,None,None,None,12:47:50,08/04/2024,Present
 None,None,None,None,12:55:59,08/04/2024,Present
